customer_id,name,plan_type,region
1125,Dev Menon,Postpaid,Lucknow
1126,Riya Pillai,Postpaid,Delhi
1127,Ishaan Kapoor,Prepaid,Ahmedabad
1128,Sara Patel,Prepaid,Ahmedabad
1129,Suresh Chatterjee,Postpaid,Hyderabad
1130,Kavita Menon,Prepaid,Hyderabad
1131,Meera Sinha,Prepaid,Pune
1132,Aditya Dhillon,Postpaid,Delhi
1133,Sneha Pillai,Prepaid,Bengaluru
1134,Suresh Singh,Postpaid,Ahmedabad
1135,Ravi More,Prepaid,Kochi
1136,Meera Chopra,Postpaid,Lucknow
1137,Manoj Agarwal,Postpaid,Kochi
1138,Aarohi Naidu,Prepaid,Kolkata
1139,Manoj More,Postpaid,Lucknow
1140,Dhruv Shah,Postpaid,Hyderabad
1141,Anjali Sharma,Postpaid,Pune
1142,Ira Joshi,Postpaid,Jaipur
1143,Rajesh Kulkarni,Prepaid,Chandigarh
1144,Priya Mehta,Prepaid,Pune
1145,Pooja More,Postpaid,Mumbai
1146,Anika Bose,Postpaid,Kolkata
1147,Myra Jain,Prepaid,Delhi
1148,Aditya Bose,Postpaid,Ahmedabad
1149,Avni Singh,Postpaid,Hyderabad
1150,Nisha Patil,Prepaid,Kochi
1151,Advait Saxena,Postpaid,Hyderabad
1152,Saanvi Iyer,Prepaid,Surat
1153,Arnav Reddy,Postpaid,Kolkata
1154,Ananya Kaur,Postpaid,Delhi
1155,Anjali Bose,Prepaid,Jaipur
1156,Shaurya Deshpande,Postpaid,Indore
1157,Meera Kulkarni,Postpaid,Nagpur
1158,Tara Naidu,Postpaid,Surat
1159,Aadhya Bhatt,Postpaid,Pune
1160,Arnav Bose,Postpaid,Indore
1161,Shivansh Krishnan,Postpaid,Lucknow
1162,Saanvi Malhotra,Postpaid,Mumbai
1163,Reyansh Khanna,Prepaid,Pune
1164,Amit Agarwal,Prepaid,Chennai
1165,Atharv Desai,Postpaid,Kochi
1166,Atharv Dhillon,Prepaid,Mumbai
1167,Manoj Pandey,Postpaid,Chandigarh
1168,Ankit Pandey,Prepaid,Kolkata
1169,Riya Pandey,Postpaid,Surat
1170,Shivansh Ghosh,Prepaid,Nagpur
1171,Nisha Sinha,Postpaid,Jaipur
1172,Aarav Chatterjee,Postpaid,Indore
1173,Karan Pandey,Prepaid,Jaipur
1174,Prisha Malhotra,Postpaid,Jaipur
1175,Vivaan Saxena,Postpaid,Lucknow
1176,Vihaan Mishra,Prepaid,Nagpur
1177,Ankit Nair,Prepaid,Surat
1178,Vikram Ghosh,Prepaid,Mumbai
1179,Dev Joshi,Prepaid,Nagpur
1180,Ankit Shah,Prepaid,Pune
1181,Karan Agarwal,Prepaid,Jaipur
1182,Ravi Banerjee,Postpaid,Pune
1183,Arnav Pandey,Postpaid,Nagpur
1184,Ayaan Bhatt,Prepaid,Kochi
1185,Divya Kumar,Postpaid,Kolkata
1186,Dev Singh,Prepaid,Indore
1187,Vivaan Bose,Prepaid,Nagpur
1188,Vivaan Choudhury,Prepaid,Kolkata
1189,Shaurya Bhatt,Prepaid,Ahmedabad
1190,Ira Deshpande,Postpaid,Indore
1191,Rahul Mehta,Prepaid,Indore
1192,Anika Mehta,Postpaid,Mumbai
1193,Ritu Verma,Postpaid,Ahmedabad
1194,Vihaan Saxena,Postpaid,Kochi
1195,Diya Singh,Prepaid,Mumbai
1196,Advait Chopra,Prepaid,Indore
1197,Shreya Patel,Postpaid,Chandigarh
1198,Suresh More,Postpaid,Mumbai
1199,Pooja Jadhav,Postpaid,Delhi
1200,Avni Pandey,Postpaid,Mumbai
1201,Suresh Mukherjee,Postpaid,Kochi
1202,Atharv Joshi,Prepaid,Kochi
1203,Sneha Jadhav,Postpaid,Ahmedabad
1204,Myra Pillai,Postpaid,Jaipur
1205,Suresh Ghosh,Postpaid,Bengaluru
1206,Avni Bose,Prepaid,Pune
1207,Nisha Kulkarni,Prepaid,Indore
1208,Ankit Sinha,Postpaid,Bengaluru
1209,Vivaan Trivedi,Postpaid,Chennai
1210,Neha Das,Postpaid,Indore
1211,Sara Banerjee,Postpaid,Surat
1212,Kavita Kaur,Postpaid,Chandigarh
1213,Aarav Krishnan,Prepaid,Mumbai
1214,Saanvi Pandey,Postpaid,Chandigarh
1215,Arnav Bose,Postpaid,Lucknow
1216,Reyansh Trivedi,Postpaid,Indore
1217,Vivaan Gupta,Postpaid,Kolkata
1218,Vikram Kaur,Prepaid,Pune
1219,Kabir Ghosh,Postpaid,Jaipur
1220,Anjali Krishnan,Postpaid,Hyderabad
1221,Dhruv Naidu,Postpaid,Bengaluru
1222,Advait Deshpande,Postpaid,Pune
1223,Sara Desai,Prepaid,Kochi
1224,Diya Agarwal,Prepaid,Kochi
1225,Divya Kaur,Prepaid,Kolkata
1226,Ira Bhatt,Postpaid,Kochi
1227,Ritu Krishnan,Postpaid,Mumbai
1228,Riya Jain,Postpaid,Kolkata
1229,Rahul Shah,Postpaid,Delhi
1230,Reyansh Pillai,Prepaid,Pune
1231,Aditya Kumar,Postpaid,Kochi
1232,Shaurya Patil,Postpaid,Mumbai
1233,Ishita Sharma,Postpaid,Jaipur
1234,Priya Kulkarni,Postpaid,Chennai
1235,Arjun Kapoor,Postpaid,Mumbai
1236,Anika Singh,Postpaid,Jaipur
1237,Sai Sinha,Prepaid,Chennai
1238,Atharv Sinha,Postpaid,Mumbai
1239,Saanvi Rao,Postpaid,Ahmedabad
1240,Kavita Choudhury,Prepaid,Indore
1241,Sneha Saxena,Postpaid,Surat
1242,Rajesh Chopra,Postpaid,Pune
1243,Shreya Choudhury,Prepaid,Ahmedabad
1244,Dhruv Reddy,Prepaid,Lucknow
1245,Ira Kapoor,Prepaid,Chennai
1246,Saanvi Shah,Prepaid,Chennai
1247,Aarav Pandey,Postpaid,Kochi
1248,Kavita Bhatt,Postpaid,Delhi
1249,Prisha Khanna,Postpaid,Kochi
1250,Ishita Deshpande,Prepaid,Lucknow
1251,Prisha Kapoor,Prepaid,Hyderabad
1252,Ishaan Pillai,Prepaid,Lucknow
1253,Atharv Malhotra,Prepaid,Mumbai
1254,Arjun Mehta,Postpaid,Ahmedabad
1255,Dhruv Sinha,Postpaid,Jaipur
1256,Ishaan Deshpande,Postpaid,Kochi
1257,Vikram Malhotra,Postpaid,Jaipur
1258,Ayaan Roy,Prepaid,Surat
1259,Suresh Agarwal,Postpaid,Delhi
1260,Ayaan Desai,Prepaid,Indore
1261,Vihaan Malhotra,Prepaid,Indore
1262,Arnav Shah,Postpaid,Chandigarh
1263,Dev Kulkarni,Postpaid,Chennai
1264,Ritu Joshi,Postpaid,Mumbai
1265,Priya Chatterjee,Postpaid,Bengaluru
1266,Ravi More,Prepaid,Nagpur
1267,Aadhya Banerjee,Postpaid,Kochi
1268,Neha Khanna,Postpaid,Nagpur
1269,Arnav Naidu,Prepaid,Jaipur
1270,Ayaan Agarwal,Postpaid,Bengaluru
1271,Ishaan Mishra,Prepaid,Lucknow
1272,Ishita Pillai,Postpaid,Hyderabad
1273,Arjun Jain,Postpaid,Ahmedabad
1274,Arnav Trivedi,Postpaid,Indore
1275,Arjun Das,Postpaid,Chandigarh
1276,Shaurya Khanna,Postpaid,Surat
1277,Advait Trivedi,Prepaid,Delhi
1278,Aryan Roy,Prepaid,Kochi
1279,Aadhya Chopra,Prepaid,Chandigarh
1280,Manoj Gupta,Prepaid,Nagpur
1281,Tara Rao,Postpaid,Mumbai
1282,Dev Iyer,Postpaid,Surat
1283,Reyansh Khanna,Postpaid,Hyderabad
1284,Riya Bhatt,Postpaid,Kolkata
1285,Ankit Naidu,Prepaid,Hyderabad
1286,Diya Roy,Prepaid,Nagpur
1287,Sai Malhotra,Postpaid,Bengaluru
1288,Zara Menon,Postpaid,Nagpur
1289,Aarav Khanna,Postpaid,Nagpur
1290,Ritu Ghosh,Postpaid,Nagpur
1291,Atharv Kulkarni,Postpaid,Bengaluru
1292,Amit Naidu,Postpaid,Jaipur
1293,Zara Agarwal,Prepaid,Kochi
1294,Saanvi Sinha,Postpaid,Kolkata
1295,Avni Pandey,Prepaid,Bengaluru
1296,Dhruv Bhatt,Postpaid,Hyderabad
1297,Kabir Jadhav,Prepaid,Jaipur
1298,Aditya Nair,Postpaid,Nagpur
1299,Krishna Kulkarni,Prepaid,Chandigarh
1300,Tara Deshpande,Prepaid,Kochi
1301,Atharv Pandey,Prepaid,Mumbai
1302,Priya Kapoor,Postpaid,Ahmedabad
1303,Advait Mishra,Prepaid,Nagpur
1304,Amit Pawar,Postpaid,Bengaluru
1305,Aryan Dhillon,Postpaid,Nagpur
1306,Divya Patel,Prepaid,Kolkata
1307,Aryan Pawar,Postpaid,Kolkata
1308,Dhruv Gupta,Postpaid,Mumbai
1309,Arnav Patil,Prepaid,Jaipur
1310,Aadhya Kaur,Postpaid,Surat
1311,Vivaan Patel,Postpaid,Indore
1312,Arjun Khanna,Postpaid,Bengaluru
1313,Suresh Iyer,Prepaid,Chandigarh
1314,Manoj Sinha,Prepaid,Chennai
1315,Ananya Gupta,Postpaid,Ahmedabad
1316,Vihaan Bose,Postpaid,Surat
1317,Ritu Iyer,Prepaid,Jaipur
1318,Aryan Kapoor,Postpaid,Pune
1319,Kabir Sharma,Postpaid,Surat
1320,Aarohi Pawar,Prepaid,Mumbai
1321,Rajesh Chatterjee,Postpaid,Lucknow
1322,Suresh Kaur,Postpaid,Jaipur
1323,Avni Chopra,Prepaid,Hyderabad
1324,Avni Bhatt,Prepaid,Kolkata
1325,Karan Sinha,Postpaid,Ahmedabad
1326,Aarohi Kaur,Postpaid,Delhi
1327,Riya More,Postpaid,Pune
1328,Aarav Sinha,Prepaid,Surat
1329,Kavita Trivedi,Postpaid,Indore
1330,Myra Desai,Postpaid,Kolkata
1331,Aryan Jain,Postpaid,Lucknow
1332,Arnav More,Prepaid,Lucknow
1333,Krishna Patil,Prepaid,Pune
1334,Anaya Kulkarni,Prepaid,Ahmedabad
1335,Rahul Nair,Prepaid,Surat
1336,Aarohi Agarwal,Postpaid,Chennai
1337,Diya Nair,Postpaid,Chandigarh
1338,Pooja Malhotra,Prepaid,Pune
1339,Tara Bhatt,Postpaid,Kochi
1340,Ishita Banerjee,Prepaid,Jaipur
1341,Sai Iyer,Prepaid,Nagpur
1342,Vihaan Pawar,Postpaid,Nagpur
1343,Myra Naidu,Postpaid,Mumbai
1344,Anaya Mishra,Prepaid,Pune
1345,Divya Rao,Postpaid,Bengaluru
1346,Vihaan Pawar,Postpaid,Ahmedabad
1347,Karan Patil,Postpaid,Mumbai
1348,Vihaan Desai,Postpaid,Delhi
1349,Preeti Naidu,Postpaid,Surat
1350,Preeti Desai,Prepaid,Lucknow
1351,Anika Deshpande,Postpaid,Lucknow
1352,Manoj Rao,Prepaid,Delhi
1353,Aditya Chopra,Postpaid,Mumbai
1354,Krishna Bose,Prepaid,Hyderabad
1355,Ankit Mukherjee,Postpaid,Ahmedabad
1356,Dhruv Iyer,Postpaid,Lucknow
1357,Krishna Trivedi,Postpaid,Pune
1358,Aditya Kaur,Postpaid,Kolkata
1359,Rajesh Kulkarni,Prepaid,Nagpur
1360,Rahul Reddy,Postpaid,Chandigarh
1361,Meera Jadhav,Postpaid,Delhi
1362,Vikram Malhotra,Prepaid,Mumbai
1363,Avni Deshpande,Prepaid,Lucknow
1364,Ira Jadhav,Prepaid,Delhi
1365,Anaya Banerjee,Prepaid,Chennai
1366,Anaya Sinha,Prepaid,Mumbai
1367,Riya Naidu,Prepaid,Ahmedabad
1368,Ira Desai,Postpaid,Indore
1369,Atharv Roy,Prepaid,Pune
1370,Avni Iyer,Prepaid,Chandigarh
1371,Sara Shah,Prepaid,Lucknow
1372,Ishita Verma,Prepaid,Delhi
1373,Rohan Bose,Postpaid,Delhi
1374,Ananya Kapoor,Prepaid,Chennai
1375,Dhruv Pandey,Prepaid,Kochi
1376,Sai Bhatt,Postpaid,Indore
1377,Rahul Menon,Prepaid,Jaipur
1378,Pooja Desai,Prepaid,Kochi
1379,Anaya More,Postpaid,Jaipur
1380,Dev Verma,Prepaid,Jaipur
1381,Avni Mishra,Postpaid,Lucknow
1382,Krishna Trivedi,Postpaid,Mumbai
1383,Meera Gupta,Postpaid,Ahmedabad
1384,Atharv Singh,Prepaid,Pune
1385,Preeti Patil,Postpaid,Hyderabad
1386,Kavita Krishnan,Postpaid,Jaipur
1387,Pooja Roy,Postpaid,Mumbai
1388,Anaya Kaur,Prepaid,Nagpur
1389,Dev Jadhav,Prepaid,Hyderabad
1390,Rajesh Desai,Postpaid,Bengaluru
1391,Anika Deshpande,Postpaid,Hyderabad
1392,Aayush Reddy,Postpaid,Hyderabad
1393,Ravi More,Postpaid,Bengaluru
1394,Atharv Pawar,Postpaid,Mumbai
1395,Ayaan Gupta,Prepaid,Hyderabad
1396,Krishna Mukherjee,Prepaid,Chandigarh
1397,Arjun Ghosh,Postpaid,Lucknow
1398,Ishaan Pandey,Postpaid,Nagpur
1399,Kabir Joshi,Prepaid,Pune
1400,Kavita Chopra,Postpaid,Mumbai
1401,Shreya Menon,Prepaid,Chennai
1402,Kabir Bhatt,Prepaid,Nagpur
1403,Krishna Chatterjee,Postpaid,Mumbai
1404,Arnav Malhotra,Prepaid,Indore
1405,Suresh Naidu,Prepaid,Ahmedabad
1406,Zara More,Postpaid,Delhi
1407,Ananya Malhotra,Postpaid,Surat
1408,Amit Chatterjee,Prepaid,Chennai
1409,Ishita Iyer,Postpaid,Mumbai
1410,Atharv Patil,Prepaid,Mumbai
1411,Dhruv Krishnan,Prepaid,Hyderabad
1412,Manoj Deshpande,Postpaid,Chennai
1413,Rahul Chopra,Postpaid,Indore
1414,Shreya Roy,Prepaid,Surat
1415,Arjun Iyer,Prepaid,Indore
1416,Preeti Kumar,Prepaid,Pune
1417,Rajesh More,Postpaid,Jaipur
1418,Kavita Kulkarni,Postpaid,Pune
1419,Ira Menon,Prepaid,Bengaluru
1420,Suresh Rao,Postpaid,Lucknow
1421,Vihaan Ghosh,Postpaid,Chandigarh
1422,Kabir Chopra,Prepaid,Kolkata
1423,Vikram Roy,Prepaid,Delhi
1424,Ira Chopra,Prepaid,Indore
1425,Shaurya Kapoor,Postpaid,Bengaluru
1426,Ishaan Sharma,Postpaid,Kochi
1427,Suresh Shah,Prepaid,Hyderabad
1428,Divya Dhillon,Prepaid,Chandigarh
1429,Anjali More,Postpaid,Mumbai
1430,Vikram Patel,Postpaid,Delhi
1431,Ankit Singh,Postpaid,Ahmedabad
1432,Suresh Sinha,Postpaid,Kochi
1433,Aryan Pandey,Postpaid,Mumbai
1434,Vikram Verma,Postpaid,Chennai
1435,Myra Choudhury,Postpaid,Nagpur
1436,Advait Mukherjee,Prepaid,Hyderabad
1437,Avni Reddy,Prepaid,Hyderabad
1438,Ritu Mishra,Prepaid,Hyderabad
1439,Ishita Chopra,Postpaid,Kolkata
1440,Amit Mehta,Prepaid,Chandigarh
1441,Aryan Rao,Prepaid,Surat
1442,Shivansh Chatterjee,Postpaid,Kochi
1443,Anika Jadhav,Prepaid,Kolkata
1444,Krishna Iyer,Postpaid,Kolkata
1445,Ananya Roy,Prepaid,Indore
1446,Arnav Jadhav,Prepaid,Chennai
1447,Shivansh Patil,Postpaid,Jaipur
1448,Arnav Sinha,Postpaid,Lucknow
1449,Zara Sinha,Postpaid,Nagpur
1450,Aryan Agarwal,Prepaid,Jaipur
1451,Sai Bhatt,Postpaid,Lucknow
1452,Navya Malhotra,Prepaid,Bengaluru
1453,Pooja Singh,Postpaid,Jaipur
1454,Rajesh Patel,Prepaid,Bengaluru
1455,Riya Khanna,Prepaid,Lucknow
1456,Ishita Gupta,Postpaid,Jaipur
1457,Ritu Naidu,Prepaid,Jaipur
1458,Tara Sinha,Prepaid,Bengaluru
1459,Kavita Bhatt,Prepaid,Delhi
1460,Rajesh Reddy,Postpaid,Kochi
1461,Ayaan Menon,Prepaid,Delhi
1462,Saanvi Dhillon,Postpaid,Jaipur
1463,Sneha Krishnan,Prepaid,Bengaluru
1464,Rahul Khanna,Postpaid,Hyderabad
1465,Shivansh Banerjee,Prepaid,Indore
1466,Aryan Jadhav,Postpaid,Mumbai
1467,Amit Reddy,Postpaid,Pune
1468,Sara More,Prepaid,Bengaluru
1469,Ayaan Ghosh,Prepaid,Surat
1470,Rohan Chopra,Postpaid,Chennai
1471,Kavita Dhillon,Prepaid,Pune
1472,Anjali Saxena,Postpaid,Nagpur
1473,Shaurya More,Prepaid,Lucknow
1474,Kabir Joshi,Postpaid,Delhi
1475,Rahul Chopra,Prepaid,Kolkata
1476,Amit Trivedi,Prepaid,Kolkata
1477,Shaurya Iyer,Prepaid,Pune
1478,Avni Reddy,Prepaid,Lucknow
1479,Amit Choudhury,Prepaid,Ahmedabad
1480,Karan Iyer,Prepaid,Chennai
1481,Riya Kaur,Prepaid,Kochi
1482,Rajesh Patel,Postpaid,Bengaluru
1483,Vihaan Bose,Postpaid,Ahmedabad
1484,Aarohi Kulkarni,Prepaid,Chandigarh
1485,Saanvi Chopra,Postpaid,Surat
1486,Riya Jain,Postpaid,Lucknow
1487,Shreya Kulkarni,Postpaid,Indore
1488,Aarohi Saxena,Postpaid,Chennai
1489,Anika Jain,Prepaid,Nagpur
1490,Sara Kumar,Postpaid,Nagpur
1491,Rahul Naidu,Prepaid,Kochi
1492,Avni Krishnan,Prepaid,Pune
1493,Ayaan Mehta,Postpaid,Jaipur
1494,Meera Menon,Prepaid,Nagpur
1495,Suresh Gupta,Prepaid,Nagpur
1496,Rajesh Chatterjee,Prepaid,Hyderabad
1497,Arjun Mishra,Postpaid,Kolkata
1498,Karan Gupta,Postpaid,Kolkata
1499,Vivaan Agarwal,Prepaid,Nagpur
1500,Reyansh Jadhav,Postpaid,Indore
1501,Atharv Nair,Prepaid,Pune
1502,Tara Bhatt,Prepaid,Indore
1503,Reyansh Bhatt,Postpaid,Ahmedabad
1504,Aarav Gupta,Prepaid,Pune
1505,Ira Iyer,Postpaid,Mumbai
1506,Shivansh Khanna,Prepaid,Pune
1507,Ishaan Kumar,Prepaid,Hyderabad
1508,Aryan Choudhury,Postpaid,Mumbai
1509,Ishaan Trivedi,Prepaid,Lucknow
1510,Pooja Sinha,Prepaid,Kochi
1511,Atharv Khanna,Postpaid,Delhi
1512,Preeti Chatterjee,Prepaid,Ahmedabad
1513,Manoj Shah,Prepaid,Chandigarh
1514,Rahul Singh,Prepaid,Hyderabad
1515,Ishita Bhatt,Prepaid,Lucknow
1516,Karan Mukherjee,Postpaid,Kochi
1517,Vivaan Chatterjee,Prepaid,Bengaluru
1518,Saanvi More,Prepaid,Indore
1519,Ritu Banerjee,Prepaid,Delhi
1520,Rohan Pillai,Postpaid,Nagpur
1521,Dev Shah,Postpaid,Kochi
1522,Priya Patil,Prepaid,Indore
1523,Shaurya Singh,Postpaid,Delhi
1524,Aarohi Jain,Prepaid,Indore
1525,Diya Patel,Postpaid,Surat
1526,Navya Menon,Postpaid,Nagpur
1527,Divya Bhatt,Postpaid,Delhi
1528,Arnav Jadhav,Prepaid,Pune
1529,Rohan Kumar,Postpaid,Pune
1530,Ishaan Mukherjee,Postpaid,Surat
1531,Vikram Kulkarni,Postpaid,Bengaluru
1532,Ananya Trivedi,Postpaid,Bengaluru
1533,Zara Krishnan,Postpaid,Indore
1534,Ayaan Joshi,Prepaid,Hyderabad
1535,Kavita Shah,Postpaid,Bengaluru
1536,Krishna Gupta,Postpaid,Lucknow
1537,Aarohi Chopra,Postpaid,Ahmedabad
1538,Reyansh Joshi,Prepaid,Kochi
1539,Rajesh Chatterjee,Postpaid,Delhi
1540,Aayush Chatterjee,Postpaid,Pune
1541,Aryan Kumar,Prepaid,Lucknow
1542,Aryan Mishra,Postpaid,Chandigarh
1543,Myra Pawar,Prepaid,Delhi
1544,Atharv Roy,Postpaid,Delhi
1545,Shaurya Singh,Prepaid,Indore
1546,Dev Mukherjee,Postpaid,Hyderabad
1547,Shreya Patel,Prepaid,Lucknow
1548,Rajesh Mukherjee,Postpaid,Jaipur
1549,Arnav Singh,Prepaid,Chandigarh
1550,Rahul Mishra,Postpaid,Lucknow
1551,Kiara Bose,Prepaid,Delhi
1552,Dhruv Shah,Postpaid,Chandigarh
1553,Karan Naidu,Prepaid,Pune
1554,Shivansh Kapoor,Postpaid,Kolkata
1555,Preeti Khanna,Postpaid,Kolkata
1556,Ishaan Nair,Prepaid,Jaipur
1557,Ananya Dhillon,Postpaid,Mumbai
1558,Myra Pawar,Postpaid,Lucknow
1559,Rohan Dhillon,Prepaid,Chandigarh
1560,Divya Khanna,Postpaid,Nagpur
1561,Aadhya Dhillon,Prepaid,Indore
1562,Rahul Menon,Prepaid,Mumbai
1563,Diya Nair,Prepaid,Indore
1564,Neha Verma,Postpaid,Chandigarh
1565,Shreya Mukherjee,Postpaid,Indore
1566,Anjali Nair,Prepaid,Mumbai
1567,Navya Mishra,Postpaid,Chandigarh
1568,Manoj Pandey,Prepaid,Chennai
1569,Ravi Jadhav,Prepaid,Jaipur
1570,Ankit Pawar,Postpaid,Chennai
1571,Nisha Naidu,Prepaid,Indore
1572,Shaurya Joshi,Prepaid,Nagpur
1573,Ishaan Krishnan,Prepaid,Pune
1574,Aadhya Mehta,Postpaid,Surat
1575,Reyansh Desai,Postpaid,Chandigarh
1576,Meera Khanna,Prepaid,Pune
1577,Diya Patil,Postpaid,Chennai
1578,Aryan Chopra,Prepaid,Chandigarh
1579,Dev Mehta,Prepaid,Chennai
1580,Kabir Choudhury,Postpaid,Nagpur
1581,Zara Sinha,Prepaid,Nagpur
1582,Ishita Verma,Prepaid,Delhi
1583,Dev Sinha,Postpaid,Lucknow
1584,Ira Sinha,Postpaid,Ahmedabad
1585,Aryan Verma,Postpaid,Surat
1586,Aryan Pillai,Postpaid,Lucknow
1587,Navya Bhatt,Prepaid,Indore
1588,Myra Pawar,Postpaid,Pune
1589,Ankit Singh,Prepaid,Chennai
1590,Rajesh Pandey,Postpaid,Jaipur
